file	adv	stop	match	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230327_0700_1400	104310	204313.0	0.0	172.0	0.7	2.8	1.9	2.4	-4.2	27.0	2.7	0	1	0	0	0	0
20230327_0700_1400	104312	204317.0	1.0	172.0	0.6	2.4	1.7	14.2	-1.8	27.0	6.1	0	1	0	0	0	0
20230327_0700_1400	104312	204315.0	0.0	172.0	0.6	2.4	1.7	14.2	-1.8	27.0	3.2	0	1	0	0	0	0
20230327_0700_1400	104411	204414.0	1.0	208.0	0.4	17.6	17.1	49.9	-4.7	17.0	4.9	0	1	0	0	0	0
20230327_0700_1400	104412	204413.0	1.0	208.0	0.3	45.2	44.8	53.4	-4.5	17.0	4.0	1	0	0	0	0	0
20230327_0700_1400	104640	204641.0	1.0	208.0	0.4	10.2	9.7	17.0	-1.4	25.0	5.7	0	1	0	0	0	0
20230327_0700_1400	104679	204680.0	1.0	208.0	0.3	26.3	25.8	41.9	-3.2	23.0	3.9	0	1	0	0	0	0
20230327_0700_1400	104742	204743.0	1.0	208.0	0.3	31.1	11.1	9.5	-0.3	25.0	6.4	0	1	1	0	0	0
20230327_0700_1400	104787	204788.0	1.0	212.0	0.3	24.2	23.7	15.2	1.2	35.0	5.7	0	1	0	0	1	0
20230327_0700_1400	104846	204849.0	1.0	212.0	0.3	18.6	17.9	39.5	-3.7	35.0	5.5	1	0	0	0	0	0
20230327_0700_1400	104848	204850.0	1.0	212.0	0.4	12.2	11.3	24.2	-0.2	35.0	3.8	0	0	1	0	0	0
20230327_0700_1400	104904	204905.0	1.0	212.0	0.4	16.0	15.5	9.1	-3.3	17.0	4.4	0	1	0	0	0	0
20230327_0700_1400	105002	205003.0	1.0	212.0	0.4	18.4	10.6	36.4	-3.6	29.0	4.9	0	1	0	0	0	0
20230327_0700_1400	105031	205036.0	0.0	212.0	0.3	13.9	13.5	6.0	-4.5	17.0	12.5	1	0	0	0	0	0
20230327_0700_1400	105033	205035.0	1.0	212.0	0.3	11.7	11.3	31.7	0.8	30.0	5.9	0	1	0	0	1	0
20230327_0700_1400	105034	205036.0	1.0	212.0	0.3	6.0	5.7	13.5	1.5	30.0	6.5	1	0	0	0	1	0
20230327_0700_1400	105215	205216.0	1.0	194.0	0.4	41.3	39.7	32.6	-4.8	19.0	4.1	0	1	0	0	0	0
20230327_0700_1400	105334	205337.0	1.0	194.0	0.2	8.8	8.4	15.0	-1.1	30.0	3.5	1	0	0	0	0	0
20230327_0700_1400	105335	205338.0	1.0	194.0	0.2	20.0	15.6	1.7	0.7	13.0	5.0	0	1	0	0	1	0
20230327_0700_1400	105336	205338.0	0.0	194.0	0.3	1.7	1.5	4.2	2.4	13.0	3.3	0	1	0	0	1	0
20230327_0700_1400	105358	205359.0	1.0	194.0	0.4	37.5	36.9	10.2	2.5	9.0	6.2	0	1	0	0	1	0
20230327_0700_1400	105371	205372.0	1.0	194.0	0.7	6.9	6.6	16.1	-1.8	9.0	5.3	0	1	0	0	0	0
20230327_0700_1400	105401	205409.0	0.0	194.0	0.3	4.7	4.4	1.8	-4.8	20.0	6.2	0	1	0	0	0	0
20230327_0700_1400	105401	205406.0	1.0	194.0	0.3	4.7	4.4	1.8	-4.8	20.0	4.3	0	1	0	0	0	0
20230327_0700_1400	105401	205414.0	0.0	194.0	0.3	4.7	4.4	1.8	-4.8	20.0	12.3	0	1	0	0	0	0
20230327_0700_1400	105402	205407.0	1.0	194.0	0.7	2.7	2.3	12.0	-3.9	20.0	4.5	0	0	0	0	0	0
20230327_0700_1400	105403	205414.0	0.0	194.0	0.4	1.8	1.5	4.6	-3.0	20.0	10.5	0	1	0	0	0	0
