file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230327_1415_1900	103996	203997.0	316.0	0.3	4.2	3.9	14.7	1.4	48.0	6.9	0	1	0	0	1	0
20230327_1415_1900	104086	204088.0	367.0	0.4	14.1	13.7	11.2	-1.0	48.0	5.5	0	0	0	0	0	0
20230327_1415_1900	104087	204090.0	367.0	0.4	19.4	19.0	4.7	1.6	46.0	7.0	1	0	0	0	1	0
20230327_1415_1900	104174	204177.0	367.0	0.4	25.5	25.2	26.5	1.9	63.0	7.1	0	1	0	0	1	0
20230327_1415_1900	104175	204178.0	367.0	0.3	10.3	10.0	3.8	3.2	63.0	6.7	1	0	0	0	1	0
20230327_1415_1900	104282	204290.0	367.0	0.6	2.8	2.2	4.4	-2.6	63.0	4.1	0	0	0	0	0	0
20230327_1415_1900	104283	204289.0	367.0	0.3	2.5	2.2	3.2	-2.4	63.0	3.5	1	0	0	0	0	0
20230327_1415_1900	104285	204292.0	367.0	0.4	3.0	2.8	6.0	-1.4	63.0	4.2	0	1	0	0	0	0
20230327_1415_1900	104288	204297.0	367.0	0.3	3.2	2.9	4.7	0.8	67.0	5.1	1	0	0	0	1	0
20230327_1415_1900	104291	204300.0	367.0	0.8	4.4	3.8	3.5	1.8	67.0	7.4	0	0	0	0	1	0
20230327_1415_1900	104406	204418.0	367.0	0.4	2.0	1.7	1.3	-3.9	67.0	4.5	0	1	0	0	0	0
20230327_1415_1900	104410	204419.0	367.0	0.4	1.7	1.4	1.0	-3.0	67.0	4.4	1	0	0	0	0	0
20230327_1415_1900	104411	204420.0	367.0	0.4	1.3	0.9	1.2	-2.6	67.0	4.5	0	1	0	0	0	1
20230327_1415_1900	104412	204423.0	367.0	0.3	1.0	0.6	2.2	-2.0	67.0	4.5	1	0	0	0	0	1
20230327_1415_1900	104413	204424.0	367.0	0.3	1.2	0.8	1.5	-1.4	67.0	4.4	0	1	0	0	0	1
20230327_1415_1900	104416	204430.0	367.0	0.4	1.5	1.2	1.8	0.1	77.0	6.1	0	1	0	0	1	0
20230327_1415_1900	104417	204427.0	367.0	0.4	2.2	1.9	1.9	0.2	77.0	5.3	1	0	0	0	1	0
20230327_1415_1900	104557	204564.0	367.0	0.4	2.4	1.9	12.6	-6.0	77.0	5.6	1	0	0	0	0	0
20230327_1415_1900	104562	204568.0	367.0	0.3	3.8	3.4	3.8	-2.3	77.0	5.3	0	1	0	0	0	0
20230327_1415_1900	104567	204572.0	367.0	0.3	3.8	3.5	1.7	1.5	54.0	6.6	0	1	0	0	1	0
20230327_1415_1900	104782	204788.0	350.0	0.3	2.4	2.1	5.0	1.7	67.0	6.6	0	0	0	0	1	0
20230327_1415_1900	104903	204914.0	350.0	0.4	0.9	0.6	1.4	-5.9	67.0	4.1	0	1	0	0	0	1
20230327_1415_1900	104906	204916.0	350.0	0.3	2.3	2.1	1.8	-4.9	67.0	5.6	1	0	0	0	0	0
20230327_1415_1900	104908	204917.0	350.0	0.4	1.4	1.0	2.3	-4.5	67.0	5.3	0	1	0	0	0	1
20230327_1415_1900	104910	204919.0	350.0	0.4	1.8	1.5	5.3	-3.1	67.0	5.7	1	0	0	0	0	0
20230327_1415_1900	104913	204921.0	350.0	0.4	2.3	1.9	1.6	-2.2	67.0	5.4	0	1	0	0	0	0
20230327_1415_1900	104915	204923.0	350.0	0.4	1.6	1.2	5.6	-0.6	67.0	6.7	0	1	0	0	0	0
20230327_1415_1900	104918	204927.0	350.0	0.4	5.3	4.9	4.0	2.2	69.0	5.9	1	0	0	0	1	0
20230327_1415_1900	105049	205061.0	350.0	0.6	1.8	1.1	2.8	-5.8	69.0	6.0	0	1	0	0	0	0
20230327_1415_1900	105051	205060.0	350.0	0.4	1.9	1.4	39.3	-4.6	69.0	4.3	1	0	0	0	0	0
20230327_1415_1900	105054	205066.0	350.0	0.7	2.8	2.2	2.2	-3.0	69.0	5.1	0	1	0	0	0	0
20230327_1415_1900	105055	205063.0	350.0	3.6	4.1	0.6	4.3	-2.9	69.0	4.0	0	0	1	0	0	1
20230327_1415_1900	105059	205069.0	350.0	0.6	2.2	1.5	1.5	-0.8	69.0	8.0	0	1	0	0	0	0
20230327_1415_1900	105065	205073.0	350.0	2.7	4.3	0.7	2.8	1.4	54.0	10.1	0	0	0	1	0	1
20230327_1415_1900	105286	205296.0	350.0	0.3	3.4	3.1	0.7	-2.2	72.0	4.1	0	1	0	0	0	0
20230327_1415_1900	105287	205298.0	350.0	0.7	3.7	3.3	1.1	-1.9	72.0	4.4	0	0	0	0	0	0
20230327_1415_1900	105288	205300.0	350.0	0.3	0.7	0.4	2.9	-1.5	72.0	4.8	0	1	0	0	0	1
20230327_1415_1900	105291	205301.0	350.0	0.4	1.1	0.4	1.7	-0.8	72.0	4.3	0	0	0	0	0	1
20230327_1415_1900	105292	205302.0	350.0	0.4	10.3	10.0	1.9	-0.6	72.0	4.8	1	0	0	0	0	0
20230327_1415_1900	105293	205305.0	350.0	0.4	1.7	1.3	1.3	0.9	51.0	5.7	0	0	0	0	1	0
20230327_1415_1900	105294	205309.0	350.0	0.7	1.9	1.5	3.0	1.3	51.0	9.3	1	0	0	0	1	0
20230327_1415_1900	105295	205306.0	350.0	0.3	2.9	2.6	1.8	1.4	51.0	6.2	0	1	0	0	1	0
20230327_1415_1900	105377	205389.0	350.0	0.4	7.4	7.1	2.1	-5.4	51.0	5.1	0	1	0	0	0	0
20230327_1415_1900	105378	205388.0	350.0	0.4	6.5	6.2	1.6	-5.2	51.0	4.6	1	0	0	0	0	0
20230327_1415_1900	105380	205387.0	350.0	0.5	1.4	0.5	1.4	-4.7	51.0	4.1	0	0	0	0	0	1
20230327_1415_1900	105381	205391.0	350.0	0.3	1.6	1.2	1.0	-3.6	51.0	4.5	1	0	0	0	0	0
20230327_1415_1900	105382	205390.0	350.0	0.5	1.4	0.9	1.8	-3.3	51.0	4.1	0	0	0	0	0	1
20230327_1415_1900	105383	205392.0	350.0	0.3	2.1	1.7	12.5	-3.3	51.0	4.4	0	1	0	0	0	0
20230327_1415_1900	105384	205394.0	350.0	0.3	1.0	0.7	4.4	-2.6	51.0	4.8	1	0	0	0	0	1
20230327_1415_1900	105393	205395.0	350.0	0.3	4.4	4.1	9.3	1.8	55.0	6.0	1	0	0	0	1	0
